GestureName,PosX_0,PosY_0,PosZ_0,RotX_0,RotY_0,RotZ_0,PosX_1,PosY_1,PosZ_1,RotX_1,RotY_1,RotZ_1,PosX_2,PosY_2,PosZ_2,RotX_2,RotY_2,RotZ_2,PosX_3,PosY_3,PosZ_3,RotX_3,RotY_3,RotZ_3,PosX_4,PosY_4,PosZ_4,RotX_4,RotY_4,RotZ_4,PosX_5,PosY_5,PosZ_5,RotX_5,RotY_5,RotZ_5,PosX_6,PosY_6,PosZ_6,RotX_6,RotY_6,RotZ_6,PosX_7,PosY_7,PosZ_7,RotX_7,RotY_7,RotZ_7,PosX_8,PosY_8,PosZ_8,RotX_8,RotY_8,RotZ_8,PosX_9,PosY_9,PosZ_9,RotX_9,RotY_9,RotZ_9,PosX_10,PosY_10,PosZ_10,RotX_10,RotY_10,RotZ_10,PosX_11,PosY_11,PosZ_11,RotX_11,RotY_11,RotZ_11,PosX_12,PosY_12,PosZ_12,RotX_12,RotY_12,RotZ_12,PosX_13,PosY_13,PosZ_13,RotX_13,RotY_13,RotZ_13,PosX_14,PosY_14,PosZ_14,RotX_14,RotY_14,RotZ_14,PosX_15,PosY_15,PosZ_15,RotX_15,RotY_15,RotZ_15,PosX_16,PosY_16,PosZ_16,RotX_16,RotY_16,RotZ_16,PosX_17,PosY_17,PosZ_17,RotX_17,RotY_17,RotZ_17,PosX_18,PosY_18,PosZ_18,RotX_18,RotY_18,RotZ_18,PosX_19,PosY_19,PosZ_19,RotX_19,RotY_19,RotZ_19,PosX_20,PosY_20,PosZ_20,RotX_20,RotY_20,RotZ_20,PosX_21,PosY_21,PosZ_21,RotX_21,RotY_21,RotZ_21,PosX_22,PosY_22,PosZ_22,RotX_22,RotY_22,RotZ_22,PosX_23,PosY_23,PosZ_23,RotX_23,RotY_23,RotZ_23
rock,-1.627162E-08,-1.440661E-09,-2.439035E-08,-96.9933,310.1728,-144.3984,-1.627162E-08,-1.440661E-09,-2.439035E-08,-96.9933,310.1728,-144.3984,-0.02006895,-0.011554,-0.01049695,-161.2374,11.3123,-136.1027,-0.03734747,-0.02228714,-0.02477634,-161.2378,31.64574,-167.2217,-0.05973499,-0.04315913,-0.03574194,-124.2491,8.463486,-189.1357,-0.08525301,-0.059355,-0.02062587,-368.842,106.6756,-25.23383,-0.09599622,-0.00731645,-0.02355071,-39.35567,287.7896,-192.2934,-0.1088107,-0.04290008,-0.02070948,-241.2758,359.5024,-61.34442,-0.08451804,-0.04317978,-0.02138563,-188.99,342.2531,-96.76828,-0.09564661,-0.002543151,-0.001725956,-37.64877,282.926,-179.9282,-0.1061071,-0.04417007,-0.001017431,-247.5936,358.8824,-44.59924,-0.07889747,-0.04674962,-0.004475398,-194.0928,336.3487,-104.8274,-0.08869377,-0.006529307,0.01746521,-34.20969,281.8705,-167.6848,-0.09360153,-0.04511955,0.01474485,-250.0864,356.5482,-26.10316,-0.06797846,-0.04660494,0.007860421,-197.3947,331.6655,-74.4202,-0.03407354,-0.009419834,0.02299853,-103.8499,323.3683,-73.45325,-0.07789579,-0.01369118,0.03505404,-31.76942,289.875,-140.469,-0.07899731,-0.04321823,0.02664684,-253.8405,360.6388,-1.286285,-0.05989904,-0.04393666,0.01976999,-208.8388,340.417,-24.09706,-0.09301148,-0.06171572,0.002621585,-368.842,106.6756,-25.23383,-0.07373204,-0.02361523,-0.02285139,-188.99,342.2531,-96.76828,-0.06453875,-0.02679306,-0.008969474,-194.0928,336.3487,-104.8274,-0.05490902,-0.0263402,0.004262661,-197.3947,331.6655,-74.4202,-0.04742202,-0.02623766,0.01613718,-208.8388,340.417,-24.09706
rock,-3.069373E-08,-1.994719E-08,-4.590127E-08,-53.52817,262.9434,-228.1042,-3.069373E-08,-1.994719E-08,-4.590127E-08,-53.52817,262.9434,-228.1042,-0.020069,-0.01155401,-0.01049701,-37.44365,248.744,-316.496,-0.03712203,-0.02175863,-0.02542024,-157.2777,-32.34149,-152.8298,-0.06104084,-0.03984468,-0.03798512,-0.7939606,209.1608,-358.9705,-0.08804052,-0.05500983,-0.0244571,-357.087,110.6962,-73.68826,-0.09599617,-0.007316439,-0.02355062,-2.62455,220.8776,-255.7448,-0.112833,-0.04124968,-0.0216702,-197.1387,358.405,-181.5132,-0.08857425,-0.04269405,-0.02136848,-144.0004,320.2721,-204.2513,-0.0956466,-0.002543171,-0.001725942,3.902428,222.578,-243.3657,-0.1066451,-0.04403581,-0.001381355,-198.8186,365.4738,-168.328,-0.07925337,-0.0454489,-0.003964734,-145.5185,311.7029,-204.8646,-0.08869379,-0.006529307,0.01746523,8.09008,227.2563,-233.894,-0.0942435,-0.04502992,0.01470911,-200.4726,374.6393,-150.9339,-0.0684277,-0.04528355,0.008414424,-147.7641,329.8372,-173.2492,-0.03407352,-0.009419833,0.02299858,-52.31908,299.4801,-190.623,-0.07789582,-0.01369119,0.03505404,8.819023,244.3434,-219.2862,-0.08279694,-0.04311714,0.02771699,-205.3107,390.9822,-131.3335,-0.06401087,-0.04390358,0.02003479,-159.8035,360.471,-139.4396,-0.09405036,-0.05675134,-0.0006441128,-357.087,110.6962,-73.68826,-0.07765321,-0.02317103,-0.02228665,-144.0004,320.2721,-204.2513,-0.06714872,-0.02395062,-0.007956552,-145.5185,311.7029,-204.8646,-0.05791156,-0.0234408,0.005822481,-147.7641,329.8372,-173.2492,-0.05221237,-0.02575914,0.01633302,-159.8035,360.471,-139.4396
rock,8.128483E-09,-1.106187E-09,1.217114E-08,-118.0711,325.0545,-106.7367,8.128483E-09,-1.106187E-09,1.217114E-08,-118.0711,325.0545,-106.7367,-0.02006898,-0.01155401,-0.01049697,-162.0843,31.14931,-142.9209,-0.03731371,-0.02220728,-0.02487655,-163.5671,59.11308,-167.2477,-0.05954001,-0.04319081,-0.03595674,-417.2628,93.00301,5.926025,-0.08431051,-0.05892167,-0.01919568,-375.1332,91.82112,-13.88684,-0.09599617,-0.007316457,-0.02355063,-62.04795,317.3183,-154.7597,-0.1108551,-0.04210122,-0.02077407,-266.8013,349.2917,-15.63828,-0.08659834,-0.04343944,-0.02146849,-214.1862,342.7602,-52.00861,-0.09564658,-0.002543151,-0.001725905,-59.61483,309.7679,-147.7092,-0.1085673,-0.04347109,-0.0008988429,-273.067,344.6686,-3.031555,-0.08151225,-0.04754928,-0.004119205,-218.9968,339.6373,-62.52309,-0.08869378,-0.006529298,0.01746523,-56.09915,304.4481,-138.6104,-0.09589522,-0.0447872,0.01519225,-273.877,336.1653,7.0224,-0.07040174,-0.04727421,0.008118094,-219.1668,325.7341,-47.74487,-0.03407355,-0.009419825,0.02299855,-128.1561,318.2825,-29.79288,-0.07789581,-0.01369117,0.03505407,-56.1714,302.2698,-101.7995,-0.08051372,-0.04326903,0.02717755,-277.796,330.1896,33.10757,-0.06183695,-0.04404644,0.01923246,-228.7224,316.8571,-5.20874,-0.09261701,-0.06205225,0.003769815,-375.1332,91.82112,-13.88684,-0.07479664,-0.02446686,-0.02288945,-214.1862,342.7602,-52.00861,-0.06597789,-0.02848524,-0.008578076,-218.9968,339.6373,-62.52309,-0.05659947,-0.02754003,0.004313893,-219.1668,325.7341,-47.74487,-0.04984721,-0.02613964,0.0150228,-228.7225,316.8571,-5.208801
rock,-2.767193E-08,-2.626859E-09,-3.415051E-08,-154.3837,309.4089,-114.2504,-2.767193E-08,-2.626859E-09,-3.415051E-08,-154.3837,309.4089,-114.2504,-0.02006898,-0.011554,-0.010497,-179.7307,2.671005,-127.0655,-0.03784433,-0.02349586,-0.02310937,-188.821,25.91687,-156.7663,-0.06056425,-0.04521605,-0.0314239,-152.724,9.622177,-182.9085,-0.08565702,-0.0605999,-0.01482085,-393.2665,63.99777,15.12503,-0.09599621,-0.00731645,-0.02355067,-105.9129,296.5506,-163.0147,-0.1131301,-0.04096705,-0.02000892,-298.6104,331.1499,-8.048096,-0.08902405,-0.04350021,-0.02178317,-245.0828,322.646,-52.87083,-0.09564653,-0.002543151,-0.001725861,-99.31444,293.6837,-155.3577,-0.1090752,-0.04330469,-0.0007811651,-299.9683,330.9285,4.407394,-0.08196212,-0.0468565,-0.004134224,-248.6228,319.801,-60.78156,-0.08869375,-0.006529294,0.01746526,-94.62979,291.1232,-145.6187,-0.09678253,-0.04462133,0.01540064,-299.9313,325.8048,20.464,-0.07132522,-0.04712769,0.008204406,-247.2377,311.6574,-34.23038,-0.03407352,-0.009419829,0.02299858,-153.5,312.8103,-52.0742,-0.07789584,-0.01369118,0.035054,-91.51433,294.91,-118.5642,-0.08266713,-0.04315365,0.02777814,-302.1463,325.0395,46.8559,-0.06411069,-0.04483416,0.01969211,-253.7172,311.7723,13.67207,-0.09474044,-0.06346545,0.007883571,-393.2665,63.99777,15.12503,-0.0780807,-0.0240722,-0.02379671,-245.0828,322.646,-52.87083,-0.06825386,-0.02645522,-0.00866241,-248.6228,319.801,-60.78156,-0.05890257,-0.02643036,0.004782234,-247.2377,311.6574,-34.23038,-0.05236547,-0.02668577,0.01584308,-253.7172,311.7723,13.67207
rock,-9.348118E-09,-1.062136E-09,-1.126575E-08,-144.4823,310.1752,-122.4451,-9.348118E-09,-1.062136E-09,-1.126575E-08,-144.4823,310.1752,-122.4451,-0.02006898,-0.011554,-0.01049699,-179.4809,3.225052,-123.2336,-0.03787854,-0.02358205,-0.0229786,-189.1899,24.46672,-154.1466,-0.06094523,-0.04496133,-0.03122141,-153.3675,5.993958,-180.0401,-0.08610532,-0.05990618,-0.01432197,-390.8373,75.90651,17.66003,-0.09599614,-0.00731645,-0.02355061,-99.53665,294.2067,-168.4919,-0.1151045,-0.0398815,-0.01996323,-289.0372,340.9629,-13.63124,-0.09113812,-0.04349191,-0.02176499,-235.8551,328.7792,-59.04387,-0.09564654,-0.002543144,-0.001725846,-90.95399,290.7944,-162.3896,-0.1096413,-0.04310834,-0.0005681708,-288.1368,340.4542,-3.280853,-0.08254751,-0.0465397,-0.004192743,-237.6477,324.8885,-68.4594,-0.08869375,-0.006529313,0.01746523,-85.26849,288.762,-153.6379,-0.09656807,-0.04466506,0.01537932,-288.4076,336.6218,13.005,-0.0711401,-0.04730805,0.008128336,-237.4134,318.799,-40.16093,-0.03407357,-0.009419838,0.02299852,-142.5817,316.0418,-62.00677,-0.07789578,-0.01369117,0.03505409,-79.58258,293.7278,-130.7373,-0.08122564,-0.04322261,0.02727279,-289.3119,337.2861,34.68271,-0.06246522,-0.04477895,0.01964553,-243.0999,321.3329,1.977203,-0.09512177,-0.06266773,0.008421969,-390.8373,75.90651,17.66003,-0.07949289,-0.02447803,-0.02379446,-235.8551,328.7792,-59.04387,-0.06903179,-0.02603874,-0.008847715,-237.6477,324.8885,-68.4594,-0.05832435,-0.02687881,0.004548515,-237.4134,318.799,-40.16093,-0.05018152,-0.02699781,0.01576339,-243.0999,321.3329,1.977203
paper,-3.53371E-08,-3.80152E-08,-2.746103E-08,-159.066,184.6219,-286.0043,-3.53371E-08,-3.80152E-08,-2.746103E-08,-159.066,184.6219,-286.0043,-0.02006898,-0.01155398,-0.01049698,-203.3814,151.3865,-331.0082,-0.03085423,-0.00893821,-0.03273388,-198.1676,125.4292,-329.9997,-0.05052853,-0.009340665,-0.0586153,-184.6169,129.5269,-325.0727,-0.07706576,-0.0110178,-0.07947036,-208.6077,130.7221,-327.2769,-0.09599619,-0.007316437,-0.02355066,-159.2932,190.0143,-265.4546,-0.1322411,-0.00578772,-0.01248506,-156.6219,192.6212,-266.0132,-0.1553725,-0.006031934,-0.005032258,-160.2314,199.8833,-261.4301,-0.09564655,-0.002543132,-0.001725875,-153.0157,188.812,-272.8853,-0.1372249,-0.006566912,0.008162379,-155.9059,192.6478,-271.2623,-0.1639484,-0.007273249,0.01482075,-163.0493,202.3481,-269.0649,-0.08869382,-0.00652935,0.01746521,-152.9329,191.772,-279.924,-0.1272067,-0.009923992,0.02255622,-155.7717,198.3516,-278.7941,-0.1534781,-0.01014399,0.02654541,-157.9423,198.3077,-281.7398,-0.03407353,-0.009419811,0.02299858,-148.5022,214.3631,-276.5547,-0.0778958,-0.01369116,0.03505406,-153.0236,197.6924,-289.1257,-0.1085717,-0.01534216,0.0350885,-155.3441,206.231,-283.5371,-0.1287442,-0.01490741,0.03741957,-159.7534,205.7004,-287.7623,-0.08723556,-0.007814165,-0.1016632,-208.6077,130.7221,-327.2769,-0.1760129,-0.003264148,0.003188041,-160.2314,199.8833,-261.4301,-0.1875414,-0.002612539,0.02162398,-163.0493,202.3481,-269.0649,-0.1775644,-0.007746565,0.02946384,-157.9423,198.3077,-281.7398,-0.1503872,-0.01133553,0.03839661,-159.7534,205.7004,-287.7623
paper,1.559882E-08,2.112354E-08,1.313267E-08,-165.9606,161.3087,-299.0507,1.559882E-08,2.112354E-08,1.313267E-08,-165.9606,161.3087,-299.0507,-0.02006897,-0.01155397,-0.01049698,-205.4398,116.4217,-339.2388,-0.03061814,-0.008494016,-0.03279043,-197.2052,90.24191,-338.6607,-0.04938211,-0.009600052,-0.05931919,-188.1099,99.05408,-332.6573,-0.07401467,-0.01046602,-0.08243767,-210.1564,95.78119,-335.197,-0.09599623,-0.007316415,-0.02355067,-171.5491,172.8444,-277.6565,-0.1319606,-0.002156164,-0.01266901,-169.9668,175.5989,-278.8539,-0.1549829,0.000432667,-0.005324519,-174.4274,182.9425,-275.6924,-0.09564658,-0.002543125,-0.001725912,-165.3934,170.9199,-285.0741,-0.1373623,-0.002063835,0.008388442,-168.5435,174.425,-284.1595,-0.163983,9.171246E-05,0.01514598,-176.3439,182.8245,-283.7731,-0.0886938,-0.006529332,0.01746521,-164.7829,171.8631,-293.3336,-0.1273312,-0.006386908,0.02273984,-167.7033,177.5672,-293.6292,-0.1535217,-0.004441951,0.02679194,-170.0329,176.7298,-296.3546,-0.03407355,-0.009419839,0.02299856,-157.3092,191.5605,-294.5179,-0.07789582,-0.01369118,0.03505404,-164.4371,175.972,-302.5324,-0.1085959,-0.01316355,0.03603762,-165.6103,183.971,-299.2255,-0.128691,-0.0120038,0.03875641,-171.2627,182.9249,-302.7083,-0.08270682,-0.006966888,-0.1052063,-210.1564,95.78119,-335.197,-0.1751568,0.005908022,0.002693696,-174.4274,182.9425,-275.6924,-0.1869664,0.007210573,0.02190795,-176.3439,182.8245,-283.7731,-0.1773178,-3.527571E-05,0.02974822,-170.0329,176.7298,-296.3546,-0.150056,-0.007176964,0.04029555,-171.2627,182.9249,-302.7083
paper,-3.148968E-08,-2.543186E-08,-4.253934E-08,-149.746,250.8775,-213.3474,-3.148968E-08,-2.543186E-08,-4.253934E-08,-149.746,250.8775,-213.3474,-0.02006898,-0.01155398,-0.01049696,-174.2115,246.4229,-287.1158,-0.03157571,-0.01030812,-0.03248982,-169.9113,223.6368,-303.6473,-0.05209208,-0.0122734,-0.05763565,-168.9612,226.0751,-289.1654,-0.07504053,-0.009977214,-0.08233507,-194.5771,230.949,-292.4893,-0.09599623,-0.007316488,-0.02355072,-161.3036,254.7581,-179.925,-0.1314616,-0.001322252,-0.01151928,-161.3518,259.5628,-177.0167,-0.1541124,0.002234833,-0.003459882,-165.7485,266.7462,-168.4437,-0.09564659,-0.002543151,-0.001725897,-154.4039,256.0043,-187.241,-0.1369714,-0.001353542,0.009831457,-158.8793,259.951,-183.455,-0.1632439,0.0018029,0.01749758,-168.127,269.0833,-177.5012,-0.08869377,-0.006529295,0.01746525,-152.5226,260.1259,-196.96,-0.1272839,-0.005635427,0.02300581,-155.4093,266.231,-193.3207,-0.1534402,-0.003504924,0.02718309,-156.4974,266.2309,-197.4514,-0.0340735,-0.00941981,0.02299862,-148.6921,282.8625,-181.2365,-0.07789582,-0.01369117,0.03505405,-152.3662,269.0814,-202.8476,-0.1085518,-0.01189704,0.03591236,-154.6691,276.0113,-194.0927,-0.1286255,-0.01014946,0.0384696,-157.6198,275.6703,-200.0207,-0.08042163,-0.004149939,-0.1056438,-194.5771,230.949,-292.4893,-0.1739619,0.00792709,0.005191843,-165.7485,266.7462,-168.4437,-0.1855359,0.01027128,0.02498015,-168.127,269.0833,-177.5012,-0.1772191,0.0009327146,0.03023086,-156.4974,266.2309,-197.4514,-0.1499705,-0.005148118,0.03969681,-157.6198,275.6703,-200.0207
paper,-1.84512E-08,-1.113716E-08,-1.993767E-08,-121.7155,261.2077,-219.7684,-1.84512E-08,-1.113716E-08,-1.993767E-08,-121.7155,261.2077,-219.7684,-0.02006897,-0.01155397,-0.01049696,-156.7484,268.2257,-283.3299,-0.03068156,-0.008613172,-0.03277629,-156.5163,249.1845,-300.2182,-0.04872433,-0.01131484,-0.05968815,-148.7455,248.9626,-290.2353,-0.07124735,-0.01194289,-0.08487335,-178.1813,259.9638,-288.9186,-0.09599629,-0.007316474,-0.02355072,-126.6609,257.337,-203.9179,-0.1328455,-0.004292803,-0.01509683,-127.679,262.9378,-198.9795,-0.1563153,-0.001650193,-0.009365108,-130.5753,269.0253,-190.6659,-0.0956466,-0.00254314,-0.00172589,-124.3453,263.447,-194.2036,-0.1366161,-0.001422861,0.01104033,-129.8897,269.1593,-188.9802,-0.1625027,0.002825712,0.01945519,-137.5836,279.9222,-181.9898,-0.08869383,-0.006529325,0.01746519,-130.5755,274.4953,-192.1256,-0.1257362,0.001058936,0.0270032,-130.4212,279.8348,-190.0726,-0.150867,0.00652313,0.03369155,-131.5337,279.5003,-194.4247,-0.03407356,-0.009419827,0.02299857,-114.7015,290.1861,-186.5124,-0.07789586,-0.0136912,0.035054,-132.7439,284.9619,-192.1844,-0.1066559,-0.005056076,0.04153743,-127.3904,290.1303,-187.6342,-0.1258885,-0.00148372,0.04700532,-131.7375,290.0066,-193.1021,-0.07518304,-0.006891917,-0.1086474,-178.1813,259.9638,-288.9186,-0.1771379,0.003220659,-0.002735358,-130.5753,269.0253,-190.6659,-0.1842115,0.01224668,0.02749293,-137.5836,279.9222,-181.9898,-0.1735174,0.01386265,0.03893546,-131.5337,279.5003,-194.4247,-0.1460775,0.00593984,0.05141248,-131.7375,290.0066,-193.1021
paper,0,0,0,-181.4502,285.2875,-130.886,0,0,0,-181.4502,285.2875,-130.886,-0.02006902,-0.011554,-0.01049702,-205.4335,325.8596,-189.0469,-0.03306547,-0.01320216,-0.03161623,-207.9518,304.0665,-212.6972,-0.05767944,-0.0120202,-0.05282564,-202.2392,297.0596,-203.6976,-0.08563531,-0.00802146,-0.07138507,-224.8305,305.4676,-202.8534,-0.09599617,-0.007316452,-0.02355064,-176.781,266.5267,-125.4067,-0.131573,-0.01097813,-0.01092698,-176.7964,269.2649,-113.5379,-0.1541391,-0.01426656,-0.002523058,-180.9311,270.7626,-97.84725,-0.09564655,-0.00254314,-0.001725868,-171.9771,272.9928,-120.1407,-0.1358979,-0.01250072,0.009382525,-174.9892,274.207,-113.7977,-0.1619418,-0.01748046,0.01685906,-184.8273,279.5302,-96.11269,-0.08869375,-0.006529297,0.01746525,-174.1364,281.1741,-113.8915,-0.1263749,-0.01425098,0.02388378,-177.3741,284.6476,-103.3027,-0.152213,-0.0182022,0.02867184,-177.5638,287.2386,-106.4232,-0.03407352,-0.009419824,0.0229986,-183.1911,298.6468,-71.8227,-0.07789582,-0.01369119,0.03505401,-178.2554,292.8578,-105.1839,-0.1083983,-0.01688776,0.03682017,-179.5817,294.1442,-91.63984,-0.1283716,-0.01913834,0.03974449,-182.0054,297.3494,-97.50685,-0.09743111,-0.002370681,-0.09224501,-224.8305,305.4676,-202.8534,-0.1745432,-0.01522267,0.006642961,-180.9311,270.7626,-97.84725,-0.1856806,-0.01645523,0.02460846,-184.8273,279.5302,-96.11269,-0.1762694,-0.01985913,0.03227101,-177.5638,287.2386,-106.4232,-0.1502574,-0.01850332,0.04139883,-182.0054,297.3494,-97.50685
scissors,-1.605655E-08,-5.861227E-09,-2.387105E-08,-131.035,288.5079,-163.224,-1.605655E-08,-5.861227E-09,-2.387105E-08,-131.035,288.5079,-163.224,-0.02006901,-0.01155401,-0.01049702,-112.7794,310.7007,-250.049,-0.03829402,-0.02467006,-0.02114882,-162.8973,-11.08444,-172.1662,-0.06240143,-0.04568944,-0.02698898,-414.3805,65.96031,-21.41107,-0.08423893,-0.05590853,-0.003310581,-381.4974,63.36391,-33.40778,-0.09599623,-0.007316459,-0.02355069,-114.7319,291.6112,-187.4966,-0.1312737,-0.01849167,-0.03186269,-116.3526,292.7129,-181.8436,-0.1541637,-0.0249222,-0.03689855,-122.7475,293.1236,-174.0663,-0.09564656,-0.002543147,-0.001725904,-115.8082,278.225,-161.1963,-0.13514,-0.01814696,0.004559823,-118.4387,279.9115,-156.2453,-0.1608404,-0.0270555,0.008931126,-127.1737,287.1885,-141.3251,-0.08869378,-0.006529295,0.01746524,-81.15263,269.821,-160.3533,-0.103249,-0.04268753,0.01865778,-301.0075,345.6192,-17.29977,-0.07948483,-0.04883058,0.008475757,-244.7776,320.5298,-54.00174,-0.03407357,-0.009419842,0.02299851,-135.1981,311.4547,-105.7893,-0.07789585,-0.01369118,0.03505401,-66.07319,278.5561,-149.0513,-0.08025193,-0.0433331,0.02733739,-306.8208,354.5302,3.463745,-0.06311214,-0.04881977,0.01792068,-269.332,345.3113,-2.58847,-0.09160493,-0.05698362,0.02015838,-381.4974,63.36391,-33.40778,-0.1762065,-0.02709652,-0.04016208,-122.7475,293.1236,-174.0663,-0.1851012,-0.030391,0.01392351,-127.1737,287.1886,-141.3252,-0.0650704,-0.03004699,0.002660744,-244.7776,320.5298,-54.00174,-0.04641236,-0.03754119,0.009200572,-269.332,345.3113,-2.58844
